Code,Description1,Description2,Last_Updated
V2797001003,"Vision supply, accessory and/or service component of another hcpcs vision code  Vis item/svc in other code  0",Vis item/svc in other code  00      9,09-09-2025
V2799001003,"Vision item or service, miscellaneous                                           Misc vision item or service 4",Misc vision item or service 46      A,09-09-2025
V5008001003,Hearing screening                                                               Hearing screening           0,Hearing screening           00      9                  2320,09-09-2025
V5010001003,Assessment for hearing aid                                                      Assessment for hearing aid  0,Assessment for hearing aid  00      9                                          1862A7,09-09-2025
V5011001003,Fitting/orientation/checking of hearing aid                                     Hearing aid fitting/checking0,Hearing aid fitting/checking00      9                                          1862A7,09-09-2025
V5014001003,Repair/modification of a hearing aid                                            Hearing aid repair/modifying0,Hearing aid repair/modifying00      9                                          1862A7,09-09-2025
V5020001003,Conformity evaluation                                                           Conformity evaluation       0,Conformity evaluation       00      9                                          1862A7,09-09-2025
V5030001003,"Hearing aid, monaural, body worn, air conduction                                Body-worn hearing aid air   0",Body-worn hearing aid air   00      9                                          1862A7,09-09-2025
V5040001003,"Hearing aid, monaural, body worn, bone conduction                               Body-worn hearing aid bone  0",Body-worn hearing aid bone  00      9                                          1862A7,09-09-2025
V5050001003,"Hearing aid, monaural, in the ear                                               Hearing aid monaural in ear 0",Hearing aid monaural in ear 00      9                                          1862A7,09-09-2025
V5060001003,"Hearing aid, monaural, behind the ear                                           Behind ear hearing aid      0",Behind ear hearing aid      00      9                                          1862A7,09-09-2025
V5070001003,"Glasses, air conduction                                                         Glasses air conduction      0",Glasses air conduction      00      9                                          1862A7,09-09-2025
V5080001003,"Glasses, bone conduction                                                        Glasses bone conduction     0",Glasses bone conduction     00      9                                          1862A7,09-09-2025
V5090001003,"Dispensing fee, unspecified hearing aid                                         Hearing aid dispensing fee  0",Hearing aid dispensing fee  00      9                                          1862A7,09-09-2025
V5095001003,Semi-implantable middle ear hearing prosthesis                                  Implant mid ear hearing pros0,Implant mid ear hearing pros00      9                                          1862A7,09-09-2025
V5100001003,"Hearing aid, bilateral, body worn                                               Body-worn bilat hearing aid 0",Body-worn bilat hearing aid 00      9                                          1862A7,09-09-2025
V5110001003,"Dispensing fee, bilateral                                                       Hearing aid dispensing fee  0",Hearing aid dispensing fee  00      9                                          1862A7,09-09-2025
V5120001003,"Binaural, body                                                                  Body-worn binaur hearing aid0",Body-worn binaur hearing aid00      9                                          1862A7,09-09-2025
V5130001003,"Binaural, in the ear                                                            In ear binaural hearing aid 0",In ear binaural hearing aid 00      9                                          1862A7,09-09-2025
V5140001003,"Binaural, behind the ear                                                        Behind ear binaur hearing ai0",Behind ear binaur hearing ai00      9                                          1862A7,09-09-2025
V5150001003,"Binaural, glasses                                                               Glasses binaural hearing aid0",Glasses binaural hearing aid00      9                                          1862A7,09-09-2025
V5160001003,"Dispensing fee, binaural                                                        Dispensing fee binaural     0",Dispensing fee binaural     00      9                                          1862A7,09-09-2025
V5170001003,"Hearing aid, cros, in the ear                                                   Within ear cros hearing aid 0",Within ear cros hearing aid 00      9                                          1862A7,09-09-2025
V5171001003,"Hearing aid, contralateral routing device, monaural, in the ear (ite)           Hearing aid monaural ite    0",Hearing aid monaural ite    00      9                                          1862A7,09-09-2025
V5172001003,"Hearing aid, contralateral routing device, monaural, in the canal (itc)         Hearing aid monaural itc    0",Hearing aid monaural itc    00      9                                          1862A7,09-09-2025
V5180001003,"Hearing aid, cros, behind the ear                                               Behind ear cros hearing aid 0",Behind ear cros hearing aid 00      9                                          1862A7,09-09-2025
V5181001003,"Hearing aid, contralateral routing device, monaural, behind the ear (bte)       Hearing aid monaural bte    0",Hearing aid monaural bte    00      9                                          1862A7,09-09-2025
V5190001003,"Hearing aid, contralateral routing, monaural, glasses                           Hearing aid monaural glasses0",Hearing aid monaural glasses00      9                                          1862A7,09-09-2025
V5200001003,"Dispensing fee, contralateral, monaural                                         Disp fee contralateral monau0",Disp fee contralateral monau00      9                                          1862A7,09-09-2025
V5210001003,"Hearing aid, bicros, in the ear                                                 In ear bicros hearing aid   0",In ear bicros hearing aid   00      9                                          1862A7,09-09-2025
V5211001003,"Hearing aid, contralateral routing system, binaural, ite/ite                    Hearing aid binaural ite/ite0",Hearing aid binaural ite/ite00      9                                          1862A7,09-09-2025
V5212001003,"Hearing aid, contralateral routing system, binaural, ite/itc                    Hearing aid binaural ite/itc0",Hearing aid binaural ite/itc00      9                                          1862A7,09-09-2025
V5213001003,"Hearing aid, contralateral routing system, binaural, ite/bte                    Hearing aid binaural ite/bte0",Hearing aid binaural ite/bte00      9                                          1862A7,09-09-2025
V5214001003,"Hearing aid, contralateral routing system, binaural, itc/itc                    Hearing aid binaural itc/itc0",Hearing aid binaural itc/itc00      9                                          1862A7,09-09-2025
V5215001003,"Hearing aid, contralateral routing system, binaural, itc/bte                    Hearing aid binaural itc/bte0",Hearing aid binaural itc/bte00      9                                          1862A7,09-09-2025
V5220001003,"Hearing aid, bicros, behind the ear                                             Behind ear bicros hearing ai0",Behind ear bicros hearing ai00      9                                          1862A7,09-09-2025
V5221001003,"Hearing aid, contralateral routing system, binaural, bte/bte                    Hearing aid binaural bte/bte0",Hearing aid binaural bte/bte00      9                                          1862A7,09-09-2025
V5230001003,"Hearing aid, contralateral routing system, binaural, glasses                    Hearing aid binaural glasses0",Hearing aid binaural glasses00      9                                          1862A7,09-09-2025
V5240001003,"Dispensing fee, contralateral routing system, binaural                          Disp fee contralateral binau0",Disp fee contralateral binau00      9                                          1862A7,09-09-2025
V5241001003,"Dispensing fee, monaural hearing aid, any type                                  Dispensing fee, monaural    0","Dispensing fee, monaural    00      9                                          1862A7",09-09-2025
V5242001003,"Hearing aid, analog, monaural, cic (completely in the ear canal)                Hearing aid, monaural, cic  0","Hearing aid, monaural, cic  00      9                                          1862A7",09-09-2025
V5243001003,"Hearing aid, analog, monaural, itc (in the canal)                               Hearing aid, monaural, itc  0","Hearing aid, monaural, itc  00      9                                          1862A7",09-09-2025
V5244001003,"Hearing aid, digitally programmable analog, monaural, cic                       Hearing aid, prog, mon, cic 0","Hearing aid, prog, mon, cic 00      9                                          1862A7",09-09-2025
V5245001003,"Hearing aid, digitally programmable, analog, monaural, itc                      Hearing aid, prog, mon, itc 0","Hearing aid, prog, mon, itc 00      9                                          1862A7",09-09-2025
V5246001003,"Hearing aid, digitally programmable analog, monaural, ite (in the ear)          Hearing aid, prog, mon, ite 0","Hearing aid, prog, mon, ite 00      9                                          1862A7",09-09-2025
V5247001003,"Hearing aid, digitally programmable analog, monaural, bte (behind the ear)      Hearing aid, prog, mon, bte 0","Hearing aid, prog, mon, bte 00      9                                          1862A7",09-09-2025
V5248001003,"Hearing aid, analog, binaural, cic                                              Hearing aid, binaural, cic  0","Hearing aid, binaural, cic  00      9                                          1862A7",09-09-2025
V5249001003,"Hearing aid, analog, binaural, itc                                              Hearing aid, binaural, itc  0","Hearing aid, binaural, itc  00      9                                          1862A7",09-09-2025
V5250001003,"Hearing aid, digitally programmable analog, binaural, cic                       Hearing aid, prog, bin, cic 0","Hearing aid, prog, bin, cic 00      9                                          1862A7",09-09-2025
V5251001003,"Hearing aid, digitally programmable analog, binaural, itc                       Hearing aid, prog, bin, itc 0","Hearing aid, prog, bin, itc 00      9                                          1862A7",09-09-2025
V5252001003,"Hearing aid, digitally programmable, binaural, ite                              Hearing aid, prog, bin, ite 0","Hearing aid, prog, bin, ite 00      9                                          1862A7",09-09-2025
V5253001003,"Hearing aid, digitally programmable, binaural, bte                              Hearing aid, prog, bin, bte 0","Hearing aid, prog, bin, bte 00      9                                          1862A7",09-09-2025
V5254001003,"Hearing aid, digital, monaural, cic                                             Hearing id, digit, mon, cic 0","Hearing id, digit, mon, cic 00      9                                          1862A7",09-09-2025
V5255001003,"Hearing aid, digital, monaural, itc                                             Hearing aid, digit, mon, itc0","Hearing aid, digit, mon, itc00      9                                          1862A7",09-09-2025
V5256001003,"Hearing aid, digital, monaural, ite                                             Hearing aid, digit, mon, ite0","Hearing aid, digit, mon, ite00      9                                          1862A7",09-09-2025
V5257001003,"Hearing aid, digital, monaural, bte                                             Hearing aid, digit, mon, bte0","Hearing aid, digit, mon, bte00      9                                          1862A7",09-09-2025
